time,lbx,lby,lbz,rbx,rby,rbz,ltx,lty,ltz,rtx,rty,rtz
855.0266,-0.2208649,0.6661147,0.368558,0.1336283,0.6785175,0.3234136,-0.1084527,-0.3140627,0.531702,0.1420101,-0.3017393,0.5209644
855.0638,-0.2628986,0.683964,0.2286664,0.1483506,0.7412946,0.464534,-0.2048237,-0.3055626,0.09651244,0.1794052,-0.1013379,1.002127
855.1013,-0.2883873,0.7177658,0.1929139,0.1610286,0.951799,0.6788815,-0.2479024,-0.2514923,-0.04977949,0.2871616,0.8439457,1.665014
855.1391,-0.293759,0.7332211,0.2459011,0.2039988,1.313431,0.7020735,-0.2624795,-0.2616782,0.149999,0.3766963,2.186152,1.158729
855.1769,-0.2823961,0.7590855,0.3900647,0.2366731,1.506102,0.5426323,-0.2831451,-0.1805018,0.7323731,0.2647853,2.47145,0.2831865
855.2142,-0.2616998,0.8813105,0.5994243,0.3020251,1.536744,0.4306405,-0.2458852,0.4580531,1.505296,0.362275,2.365236,-0.126111
855.252,-0.2175289,1.148511,0.7267972,0.3464497,1.503714,0.4173852,-0.1598279,1.645062,1.592885,0.3362271,2.340765,-0.1296445
855.2893,-0.1710882,1.413745,0.6674672,0.4030498,1.428217,0.4887509,-0.1366819,2.385395,0.9013768,0.4028938,2.420321,0.3633337
855.3269,-0.1230795,1.53283,0.5373228,0.4919981,1.267618,0.5575897,0.006771192,2.464106,0.196936,0.7644833,2.15829,0.9215327
855.3641,-0.08931219,1.535614,0.4625207,0.5524428,0.9368884,0.597492,-0.06522929,2.340954,-0.1298036,0.9859042,0.8021535,1.488535
