time,lbx,lby,lbz,rbx,rby,rbz,ltx,lty,ltz,rtx,rty,rtz
621.0702,-0.2850142,0.798628,0.2979163,0.2872776,0.7968441,0.3190952,-0.3098248,0.4339626,1.228724,0.3109182,0.2720319,1.169985
621.1081,-0.2795154,0.7923173,0.298407,0.2780197,0.7896875,0.322742,-0.2911313,0.4278542,1.229552,0.269118,0.2422429,1.159537
621.1451,-0.2770673,0.7809257,0.2928117,0.2707572,0.7822392,0.325022,-0.2869776,0.3875513,1.212137,0.2327599,0.2159695,1.148366
621.1824,-0.2761348,0.7669101,0.2841115,0.2656889,0.7728106,0.3266154,-0.2813191,0.3413306,1.189018,0.2077634,0.1813079,1.130835
621.2197,-0.27691,0.7487916,0.2728891,0.2636269,0.7617505,0.330063,-0.2854789,0.2905461,1.161674,0.201475,0.157472,1.124408
621.2579,-0.2784922,0.7285435,0.2574899,0.2635417,0.750063,0.3343256,-0.289516,0.2200872,1.118507,0.2090679,0.1325167,1.118971
621.2953,-0.2847785,0.7099712,0.2416765,0.2639379,0.7354673,0.3357034,-0.3273917,0.144942,1.065646,0.2227021,0.05065906,1.063259
621.3329,-0.2975843,0.6951665,0.2252755,0.2663077,0.7234752,0.3311487,-0.4236287,0.03901243,0.9693016,0.2740553,-0.1143761,0.8769923
621.3699,-0.3078814,0.6843844,0.1969244,0.2778418,0.7477719,0.3413748,-0.4682794,-0.1470883,0.7288321,0.3668897,-0.2045525,0.6331777
621.408,-0.3146318,0.6946325,0.1719783,0.2858782,0.8177654,0.4460511,-0.4384273,-0.272643,0.3934571,0.3607755,0.05872756,1.092775
621.4454,-0.3308099,0.7302563,0.2181577,0.2899079,0.952428,0.5606233,-0.4784811,-0.22903,0.4589128,0.4182015,0.6056603,1.489759
621.4827,-0.3553719,0.7855807,0.3271283,0.2987838,1.133144,0.6246501,-0.61541,-0.04377919,0.8216405,0.5024827,1.288029,1.591354
621.5213,-0.3708382,0.8753834,0.4395698,0.3093106,1.328559,0.6165124,-0.6862205,0.229093,1.134439,0.5252723,2.063564,1.259263
621.5576,-0.3795733,1.000001,0.5462435,0.3041868,1.465762,0.539686,-0.7113481,0.6819767,1.43438,0.440834,2.449388,0.6571926
621.5953,-0.3824569,1.168506,0.6250145,0.288633,1.510583,0.4582594,-0.7360891,1.290733,1.552379,0.343867,2.468776,0.177517
621.633,-0.3642741,1.341247,0.6503775,0.2710796,1.502991,0.4199458,-0.6631173,1.896256,1.426688,0.2512456,2.398854,-0.02394193
621.6699,-0.3275926,1.492859,0.6231701,0.2637505,1.472303,0.4430873,-0.4585474,2.377762,1.070158,0.314207,2.412178,0.1053165
621.7078,-0.2914929,1.586387,0.5536281,0.2514814,1.404544,0.4886467,-0.2605608,2.585849,0.564556,0.3432564,2.390316,0.3478264
621.7454,-0.2619025,1.618159,0.4782805,0.2278793,1.298392,0.5474092,-0.1422721,2.556562,0.1541083,0.2786643,2.277681,0.7434055
621.7827,-0.2336049,1.594943,0.4097007,0.1940703,1.092176,0.6294751,-0.04783472,2.347107,-0.2225478,0.101801,1.622056,1.472513
621.8204,-0.2138405,1.514045,0.3810562,0.2103619,0.8040025,0.5707934,0.0135674,2.039863,-0.4385791,0.2105674,0.2021154,1.369375
621.8578,-0.1984115,1.409355,0.5547739,0.2624364,0.7034269,0.3302678,0.04072525,2.375755,0.4605113,0.2405843,-0.270094,0.5578192
621.8953,-0.2382085,1.068682,0.7339498,0.370766,0.7512425,0.2688394,-0.2151214,1.268117,1.713589,0.5789008,-0.220318,0.381756
621.9333,-0.2923207,0.695051,0.5193616,0.4294136,0.8440696,0.3406744,-0.4240234,-0.1353034,1.06081,0.6843418,-0.02529734,0.7640098
621.97,-0.2925477,0.626954,0.2389905,0.4850718,1.03835,0.4915344,-0.1951249,-0.3646706,0.3237818,0.8235241,0.8399744,1.41137
622.0076,-0.3605522,0.6869635,0.02043428,0.5008261,1.327839,0.5314055,-0.4022672,-0.2319874,-0.3717254,0.7202658,1.958756,1.275576
622.0459,-0.3850563,0.8037711,-0.1128357,0.4355359,1.576135,0.4308462,-0.3040198,0.1464623,-0.8620877,0.313562,2.564487,0.521859
622.0834,-0.3973637,0.8734738,-0.1646063,0.3711347,1.694892,0.3093178,-0.2226689,0.3390332,-0.9915618,-0.01285928,2.567556,0.007645816
622.1206,-0.4161232,0.9113199,-0.1840435,0.3351966,1.7464,0.2158784,-0.1860907,0.3174871,-0.9550479,-0.09934813,2.465078,-0.3269587
622.1581,-0.4398442,0.9726818,-0.1817941,0.3258823,1.755937,0.1347976,-0.1126168,0.4571462,-0.9737192,0.03347641,2.320398,-0.6371369
622.1953,-0.4848532,1.021018,-0.1510456,0.3285597,1.723762,0.07336109,-0.1396086,0.5856416,-0.9824625,0.2632806,2.037276,-0.8739758
622.2327,-0.5454805,1.020533,-0.08164538,0.3168031,1.682902,0.05728243,-0.2907827,0.378279,-0.8045831,0.3168105,1.8139,-0.9341002
622.2705,-0.5997204,1.013409,0.03376907,0.2966231,1.670303,0.07313506,-0.4213436,0.1227992,-0.3845552,0.298317,1.859939,-0.9087179
622.3078,-0.6577137,1.033365,0.2019274,0.2852671,1.668872,0.1128683,-0.6528745,0.03906226,0.3084129,0.3650923,2.033432,-0.8148837
622.3456,-0.7241188,1.127112,0.4135748,0.287652,1.659657,0.1680329,-0.9545649,0.566856,1.209193,0.4966229,2.221959,-0.6320591
622.3829,-0.7320258,1.405537,0.5499312,0.2917282,1.6297,0.2169927,-0.9520895,2.079268,1.255381,0.5907151,2.306748,-0.4554752
622.4205,-0.6489933,1.616519,0.4088191,0.2943137,1.590946,0.2423318,-0.6790535,2.596773,0.213375,0.6194446,2.302729,-0.3802871
622.4584,-0.5639303,1.648217,0.3215754,0.3038316,1.559195,0.255033,-0.5037757,2.542801,-0.1212569,0.6783099,2.291539,-0.3136843
622.4957,-0.4982737,1.635323,0.2643926,0.3131741,1.543455,0.2477316,-0.5107393,2.385614,-0.3965982,0.6954339,2.264619,-0.3300234
622.533,-0.4181225,1.585556,0.2263284,0.3169419,1.550406,0.2301865,-0.3667759,2.1318,-0.6097227,0.6224336,2.278212,-0.3837946
622.5704,-0.3417392,1.518432,0.2309556,0.3172357,1.568704,0.2096198,-0.2059624,1.892223,-0.6865653,0.4942842,2.312361,-0.4350728
622.6085,-0.2884168,1.488258,0.3012096,0.3221577,1.584671,0.1829766,-0.2576128,2.031682,-0.537684,0.4171909,2.291311,-0.5181861
622.6456,-0.2438505,1.463129,0.4347952,0.3270485,1.600555,0.1614964,-0.467448,2.336328,0.001750052,0.349151,2.281297,-0.5706929
622.6829,-0.1679242,1.328988,0.6047312,0.3288018,1.617816,0.1459607,-0.5737954,2.151167,1.003841,0.2798055,2.282009,-0.5999931
622.7217,0.003146816,1.053805,0.6830842,0.3278316,1.629425,0.1326453,0.03333825,1.07239,1.682456,0.2017665,2.261017,-0.6323376
622.7581,0.1807733,0.8334268,0.4498278,0.3250222,1.632199,0.1219731,0.9407746,0.2177653,0.6580564,0.1082508,2.208736,-0.6658182
